Item,Work Description,Unit,TOTAL,,
1.4,"Provide and maintain throughout the duration of the works safe and secure independent access scaffold with hoist facility. Include all H&S, guard rails, and toe boards etc. to ensure safe delivery & disposal of materials and access to carry out roof work. Where there is no edge protection, no matter how short the period of time, operatives must use fall arrest lanyard & harnesses.
NB: The external wall system is fragile. Putlog scaffold is not likely to be feasible. Scaffold at the must be designed structurally secure and safe from the ground level up.
NB: The road below is not to be obstructed.
NB: Areas above footways, are to be double boarded with Visqueen to stop dust & debris going on to pedestrians.
NB: No scaffolding shall be struck before the CA has had an opportunity to inspect the works for which the scaffolding is required.",Item,,,
1.5,Allow to extend the scaffold design to ensure secure edge protection at all perimeters to permit full safe safety of workforce and inspections without the requirement for fall arrest systems.,Item,,,
1.6,Provisional item. Extend and strengthen design of scaffold and provide temporary roof ‘tin hat’ for the duration of the roof works.,Item,,,
1.7,"Include all temporary weather protection during works, tarpaulins etc.",Item,,,
1.8,Allow to bear all cost for appropriate crane hire and operators to deliver and remove waste from the roof line.,Item,,,
1.9,Provisional item. Allow to set up temporary moveable base in central position on roof to provide anchorage for fall arrest lanyard and harnesses.,Item,,,
1.1,Provide and maintain throughout the duration of the works remote battery power intruder alarm installed at the lowest lift of scaffold. Include for 'Alarm Warning' signage.,Item,,,
1.11,Provisional item. Contractor to supply own 110/230v electrical power generator in the event that landlord's supply is not available or otherwise found to be unsuitable.,Item,,,
1.12,There is a bib tap located in the bin store. It is assumed that the contractor shall be permitted to use water from the bib tap for mixing materials etc. for the duration of the contracted works.,Item,,,
1.13,"In line with CDM Regulations, the contractor is to bear all costs for welfare and sanitary provision for the duration of the contract period as estimated by the contractor in the Section 4 tender summary.",Item,,,
,"NB: It is the responsibility of the contractor to prepare CDM documentation, RAMs applicable to the project.",,,,
,NB: The works are not considered notifiable under COM but this is to be reviewed prior to commencement.,,,,
1.14,Include to employ specialist electrician to set aside lightning conductor equipment and securely reinstate on completion of works in accordance with regulations and fixing method approved and agreed with the NFRC Roof Contractor so as to not invalidate the extended warranty. Electrician to certify their work on completion.,Item,,,
2,NFRC and Extended Warrantl,Item,,,
,,,,,
2.1,All roof work must be carried out by an NFRC accredited Roof Contractor who is also self-certifying for Building Regulations (this is in addition to the requirement to notify the Building Safety Regulator).,Item,,,
,It is the responsibility of the contractor to ensure specification of all minor details and staged inspections by the roof manufacturer and Building Safety Regulator officer where necessary.,,,,
,,,,,
2.2,The contractor must include a 20 Year 'Insurance Backed Guarantee' on completion of works.,Item,,,
,,,,,
3,Main Roof Replacement (indicated 'Block A' and edged red on appendix 1 & please also see photograph 1 - 6),Item,,,
,,,,,
3.1,The contractor must take their own roof core sample(s) to satisfy themselves with regard to the existing roof build-up.,Item,,,
3.2,"Where the Waterproofing system bridges a compartmented wall, it is expected that the existing system is laid on a substrate that is non-combustible to latest BS in force. In the event compartmentation issues are discovered, rectification costs to be agreed in writing with the C.A.",Item,,,
,,,,,
Item,Work Description,Unit,,,
3.3,NFRC accredited Roof Contractor to fully strip off the existing roof system to expose the underlying concrete deck and parapet kerbs. Cart away.,560 m2,,Included in original cost,
3.4,It is anticipated that the existing roof system will be waterlogged. The contractor must allow to vacuum and dry the concrete substrate.,560 m2," £1,680.00 ",,
3.5,Include to strip off zinc parapet cappings and associated waterproofing system. Cart away.,125 Im,,Included in original cost,
3.6,"Allow to rebuild and raise the height of the parapets to accommodate the increased level of the proposed insulated roof system. Formed in WBP ply over tantalised framework and insulated in accordance with manufacturer's specification to receive proposed roof system with a GRP edge trim to finish below outside edge of original capping drip edge.
NB: Minimum height of parapet kerbs to be approx. 50mm above finished level of insulation board, all roof perimeters.",125 Im," £2,750.00 ","Extra over cost - To be added original cost provided, strip metal capping and clear supply and fix tantalised framework and insulation with ply and perimater GRP edge trim finish",
3.7,"NFRC accredited Roof Contractor approved by the chosen manufacturer product to clean, prepare and prime the concrete deck to the roof in line with manufacturer's specification.",560 m2,,General preparing and priming included in original cost - not including existing concrete substrate extensive damage repairs,
,"Warm roof - Supply and lay high performance a Broof(t4) compliant built-up bituminous membrane roof system. To be Proteus Pro-Felt® 'Ultima-Plus' (BUR) System (or high-quality equivalent BBA approved) to entire roof section, all strictly in accordance with manufacturer's specification.",,,,
,"Prepare, repair and clean surfaces and prime surfaces as required",,,,
,Proteus Pro-Felt® air vapour control layer,,,,
,"Bond PIR Proteus Pro-Therm flat board insulation to approx. 75mm depth to overcome existing hidden concrete lip at all perimeters, bonded with Pro-Bond Foaming.",,,,
,"Over the flat board insulation layer bond PIR Proteus Pro-Therm tapered insulation system, minimum depth to meet latest Part L requirements of Approved Document L1B. To include all hard edges as required to form gully/sump areas leading to parapet outlets etc.",,,,
,Install Proteus Pro-Felt® underlays,,,,
,Install Proteus Pro-Felt® mineral cap-sheet,,,,
•,Include all termination and flashing details and GRP trims or as recommended by manufacturer at all abutments.,,,,
,NB: Please refer to the manufacturer specification in appendix 2.,,,,
,NB: The design of the tapered insulation scheme is to be obtained from the chosen roof manufacturer.,,,,
3.8,Include to strip off and extend the described roof waterproofing system over the rooftop lift housing (photograph 1).,12 m2," £2,508.00 ",as agreed with Proteus no insulation required over lift housing,
3.9,"Include to dress roof system minimum 150mm up all SVP pipe penetrations, all terminated and sealed strictly in accordance with the roof manufacturer's specification.",10 nr, £800.00 ,Lead sleeves,
3.1,Allow to extend SVPs and/or vent pipe/s where necessary. Collar or pipe sleeve/s must be a minimum of 150mm above the finished roof surface and extension pipe/s to be fixed inside the existing pipe/s. Each to include new replacement cowl or leaf guard as appropriate.,10 nr,,,
3.11,"Include to dress roof system minimum 150mm up all metal pole penetrations serving the existing lanyard system, all terminated and sealed strictly in accordance with the roof manufacturer's specification.",5 nr, £400.00 ,Lead sleeves,
3.12,"Refurbish/renew existing parapet outlet gullies and chutes. Make ready to accept new Refurbishment Outlets & Chutes (compatible with chosen roof system). Where necessary, cut back and remove sufficient materials from around the outlets and as required from the surrounding area to allow for correct installation.",6 nr," £1,560.00 ",Lead chutes,
3.13,Day I Night Joints,,,,
,The contractor must ensure at the end of each working day or period that any exposed membranes or substrates that are susceptible to damage through water ingress are sealed with a compatible membrane to ensure complete water tightness.,Item,,Included in original cost,
3.14,Provisional item. Take down redundant heavy duty window cleaning arm and associated base from roof (photograph 6). Cart away.,Item,,Others,
,NB: If the redundant equipment is not removed from site it must be placed on a sacrificial layers so as not to invalidate the roof guarantee.,,,,
,,,"£9,698.00",,
